no_data,epoch,epochs,avg_loss_epoch
782,1,20,2.201782588763615
1564,2,20,1.878380023762393
2346,3,20,1.7207689469732592
3128,4,20,1.6245526339087035
3910,5,20,1.5701283358247078
4692,6,20,1.5258863566781553
5474,7,20,1.4857808153342713
6256,8,20,1.4547659666337016
7038,9,20,1.4322215596123424
7820,10,20,1.4097705981920443
8602,11,20,1.387605643180935
9384,12,20,1.3698382511010865
10166,13,20,1.3510787972556355
10948,14,20,1.3348296736664784
11730,15,20,1.3235235385730137
12512,16,20,1.3077838236413648
13294,17,20,1.293806434820985
14076,18,20,1.2793491033794324
14858,19,20,1.270563540480021
15640,20,20,1.256508340463614
,Total accuracy: ,53
plane,class accuracy: ,65.8
car,class accuracy: ,68.8
bird,class accuracy: ,31.2
cat,class accuracy: ,33.3
deer,class accuracy: ,32.8
dog,class accuracy: ,40.5
frog,class accuracy: ,58.6
horse,class accuracy: ,72.7
ship,class accuracy: ,62.8
truck,class accuracy: ,69.1
