no_data,epoch,epochs,avg_loss_epoch
782,1,20,1.9830426018866127
1564,2,20,1.92479567546064
2346,3,20,1.9140873964485305
3128,4,20,1.907762787531099
3910,5,20,1.9021479679495477
4692,6,20,1.9041121440470372
5474,7,20,1.8976047935388278
6256,8,20,1.89706019230206
7038,9,20,1.8971875893795276
7820,10,20,1.8940688771055179
8602,11,20,1.8936342795181762
9384,12,20,1.8943355177979335
10166,13,20,1.8927662703387267
10948,14,20,1.891093546472242
11730,15,20,1.892844451510388
12512,16,20,1.890825603319251
13294,17,20,1.8917120111263013
14076,18,20,1.8918835654892885
14858,19,20,1.8893809127990546
15640,20,20,1.8889833464646888
,Total accuracy: ,36
plane,class accuracy: ,61.6
car,class accuracy: ,38.2
bird,class accuracy: ,20.0
cat,class accuracy: ,18.8
deer,class accuracy: ,26.2
dog,class accuracy: ,30.7
frog,class accuracy: ,47.9
horse,class accuracy: ,27.1
ship,class accuracy: ,33.1
truck,class accuracy: ,58.0

